id,text
802217876644052000, @loogunda @poroshenko putin abducted ukrainian citizens in occupied territories & mobilized them /human shield against ukraine = war crime.
802425296955682000, if putin wanted to intervene all he would have had to do is donate to the clinton foundation. not hack computers &⊦ https://t.co/2wuck3zowg
805664502515662000, @hillbuzz @gaypatriot elsewhere in progland...https://t.co/xhxbsiktgf@lindarutter @alvedacking @rmack2x @jjburdett @kherriage
639928670103015000," any females copping the gucci foamposites tomorrow? if so checkout our passion for fashion tee to match. http://t.co/loba2ivlqv	"
673824182287904000," ""in other news, had a great saturday on the town with @kyotas_papillon and my old uni friend at a david bowie tribute orchestra :p""	"
802410286351167000,this is of concern for all of us https://t.co/pxwexwaunb
630507768852709000," @adbertram ha! i also have it on good authority that chuck norris loved your sessions. see you in november my friend!	"
639735962008952000," i'll be at the wordpress meetup in milan next tuesday - spots still available! http://t.co/jsuuzmtsl9	"
805702318586929000, hahahahahah so much of this #westworld season was me screaming expletives at this idiot https://t.co/mcek4okziz
801824651143880000, the anti-#clinton riots might make the anti-#trump riots look like picnics ⊔ because we all know how violent paid⊦ https://t.co/yjuwnxraar
680689311277174000," we love you elton @eltonofficial @eltonjohn_ thanku for loving israel as we do https://t.co/zxihh4777w	"
679673496872550000," rumours that chris harris may join chris evans on top gear. they'll have to make extra wide doors for 2 such fantastically egotistical twats	"
641322877984370000," ""http://t.co/ml0dp3igs6  ask floyd mayweather if he would prefer to be popular or successful, he would have to say the latter.""	"
626475730042425000,"cji may hear yakub's latest petition at 2.way to go pb!wtvr else you might say,he's one of the best pil lawyers in the country.return to aap"
675861184277516000,"carol, a period romance set in 1950s new york and starring cate blanchett, topped nominations for the golden globes on thursday, as"
623114596061184000," ""what makes monday better? final round of @theopen golf championship! scottish amateur paul dunne, who attended uab, is tied for the lead.""	"
640135683655364000," kanye west sent taylor swift flowers. that must be his 1st political move.. taylor can really help him with her squad. :'d #kantay2020	"
805668768659673000," the true parallel for #italyreferendum is https://t.co/xdr0kszz5ynot brexit, you uninformed drama queens. we just saved democracy."
641113419010191000," so can i skip school tomorrow and go to the city to see shawn the jacks &amp; justin	"
635655667387375000," after what jon stewart did to john cena he better show up to work on monday.	"
800237080504836000, @huffingtonpost mocking colbert for not being funny or fatty kim the third? hmmmm https://t.co/4hmu3ahkem
624291855526686000," vice president yemi osinbajo on thursday alleged that members of the boko haram sect have concluded plans to bomb... http://t.co/a4hlnuqmv3	"
805572954624929000, @delgirlshoops @thedickflowers @georgetakei the 50+ year embargo against cuba has not improved or changed anything for the cuban people.
673538991170445000," ""was wednesday 1-6 some kind of weird twilight zone parallel universe thing, and this is the real team?""	"
661450767853744000," have you saved up enough money to buy wake up world tour tickets? and see the vamps? november 7---- save the date! https://t.co/kgu3eddbk3	"
805677032931631000, church blocks sexual contraception and education. government blocks the death penalty. no wonder there's a population bubble.
639636871815950000,hosmer has the most strikeouts on the #royals 84 other mlb players have struck out more. kris bryant has the 2nd most ks in the mlb
630890310067949000," happy birthday to my big brother @xtruegr8ness26x. can't wait to spend some time with you tomorrow!	"
805597419958308000, @gold_standard the shade!  happy ! #mariahsworld
675490852169523000," ""10th anniv of twilight books meyer released version w/main characters gender swapped. but true to original stories, the writing still sucks.""	"
665375362616918000," @wielsucker @mewmewmew13 i think after charlie hebdo the french did not react as the us did after 9/11. but they may do this time around.	"
802181038982262000, no. but mr pence and steve bannon can drop the 25th amendment on your ass. https://t.co/hjgpg71e9f
636356276520222000," ""new review tomorrow, this time i check out ed hunter, that's right the game based on iron maiden \,,/""	"
802210671005863000, @johngrahamiv @ikebarinholtz @drjillstein @ppact @naacp even if she's wrong it still hurts trump. keeps popular vote in news cycle.
800771709179600000,hahaa... hopefully soon m$ is forced to opensource office and windows sourcecodes. 😋 https://t.co/96famqfpwi
674049748131819000,"not sure how to feel about kendrick's sons coming up. inspiration is beautiful, but c'mon fammm."
800753941805985000, #microsoft joins the #linux foundationhttps://t.co/uc7cbno401
630053594260242000,i take it it's for holiday/schools being off reasons that paper towns opens here on a monday(?)
640429851250413000," ""result: andy murray def thomaz bellucci 6-3, 6-2, 7-5. murray advances into the 4th round to play kevin anderson #usopen""	"
622825169963212000,tom rinaldi didn't want to end his interview with paul dunne until dunne was properly intimidated by tomorrow. way to drive it home tom.
674796183408271000," madonna was on saturday night live with bee gees last night  happy  she is perfect	"
673963831287246000," while we're on the topic.... j. cole &gt; kendrick   as far as black friday is concerned... go debate ya fat aunt who only wears elastic pants	"
805669764504776000,"as aleppo is being liberated from these false defenders of freedom, the scene from their abandoned posts resemble hell on earth."
634621600155877000," ""you would think being the first music video without zayn, it may not do so well, but in reality it's freaking awesome #dragmedownmusicvideo""	"
802023316043296000, i'm gonna write a book based on jigsaw capturing david blaine lmao everyone's gonna h8 it
805696585401335000, gun control regulation vs  prohibition what's the difference?#guncontrol #gunrights #regulation #prohibitionhttps://t.co/tzm6vzy4da
632740989430550000," ""come meet with the family of christians tomorrow at grassy church of christ in arab,al. bible study  at 10-preaching at 11!  #churcfofchrist""	"
666418987656417000," ""martin jones / jones will get the start tuesday against the bruins, curtis https://t.co/rnafoxgqjw #nhl #sj""	"
802195643313901000,@madamekatacomb yeah took long enough lmfao. the real wait is persona 5 tho......... did you hear atlus delayed it to april now
631650653216108000," argh! gonna miss friday &amp; another david price start.. hopefully make it back to in time to see a few innings	"
802382035977469000," no matter who sits on the throne, the #shadowgovernment rules: https://t.co/oiw5js7iik #trump picks #cfr #hawk #kissinger aide to cabinet."
624667502547705000,do you remember that time chris farley interviewed paul mccartney on snl? that was pretty cool. http://t.co/jsg1tq6hxc
802354990132187000," mt @rrudowitz: top 3 #medicaid issues post-election: aca repeal, block grants and administrative changes. https://t.co/21b0qlafdp #auposc"
802357774684487000,the #trump cabinet is an utter disaster. full of cronies and swamp dwellers. you #maga people have been taken. next⊦ https://t.co/bjs9pdlosx
635636903040188000," kane may interfere though. i'm calling it. this will not be a clean match. #wwesummerslam	"
630495873785536000," so deeply sadden for kathie gifford and her family at the loss of frank gifford today. may prayers be with you all #ripfrankgifford	"
632440388905668000," ""if naruto will be the 6th, and sasuke is his rival then sasuke is at the kage rank as well.""	"
640603798533070000," ""#metro #news: reborn parma kick off with win in fourth division: milan, sept 6 (reuters) - parma, kicked out o... http://t.co/comuyu117k""	"
638187283401863000," i'm going to paul mccartney!  2nd time in two years!	"
801896459306052000," the #unitednations wants to end violence against women, but has #saudiarabia leading the human rights council.👌🏻⊦ https://t.co/t9nfs5hvlu"
676506336411189000," wearing the hottest top i have ever owned on wednesday to see the vamps genuinely more excited for the outfit than the concert	"
675865851908587000," ""@huygian hi there. on behalf of ira, may i know if you still experiencing the same concern? thank you.""	"
680287520957935000," well i'm going to see justin bieber in march!!!! merry xmas to me.	"
639781973737783000," #tucson gay couple gets license to wed in kentucky county - a gay couple walked out of a kentucky courthouse with ... http://t.co/8jnjc3mqwt	"
799066810142298000, @trumpsnewsdaily i like trey gowdy for ag #trumptransitionteam #trump2016
805566980157767000, .this will make you rethink animal testing #cambridgekillers https://t.co/jqimbzmv7x
801866493013069000, #hamas urges lebanon to stop isolation wall construction https://t.co/gmtswdvnlk
640470133358657000," here's shawn's 2nd pass of the day which put us in the 10th spot.  still have 2 more qualifying passes today. http://t.co/l1foiw65bs	"
639557441294741000,ico and shadow of the colossus for ps4. may as well. #buildingthelist @playstation
636922712842223000," ""no but i need to be in a happy place by september 25th, if not i'll be crying the entire ed sheeran concert.. #foreveralone""	"
626534657815789000,yakub's mercy plea has been rejected.  may you be served justice in here after.  #yakubmemon
802168210418176000, watching every single 1d interview today  #3yearsofmidnightmemories #mtvstarsniallhoran #mpn #onedirection
622586096564740000," ""sunday, june 19th is national ice cream day!!!  (sorry for the short notice, but our a/c is now back up and... http://t.co/c80lbkopuw""	"
634524329930326000," theory: what if frank ocean dropped out of fyf fest to instead perform at the vhs luau dance tomorrow?	"
640467849295867000," ""just one day left to the #expocamp! see you tomorrow 10 am, at @fabriqmi in milan: we can't wait! http://t.co/t1lqpbpoh3""	"
681484702574866000,"unconditional support from iran, us, russia et al has of course nothing to do with it.. https://t.co/ru9ae4lwjp"
802206930387266000, la artista favorita de ricky martin queen like always #lalienhoy
624134658243055000," ""photo: the duke and duchess of cambridge leave hospital with their newborn son, prince george || july 23rd... http://t.co/mowbpg55tw""	"
681686988337090000," effective tomorrow: are the good times over for saudi arabia? https://t.co/6mjbf0sq2z	"
637457520647389000," tomorrow he's gonna start upgrading his items and start selling louis vuitton belts and armani jeans and gucci shoes with all that donation	"
626439767505399000," ""~ for, but worst of all, he's cheated the wwe universe out of what they truly deserve. monday night was just beginning, if seth rollins is ~""	"
805678988991627000, @sarahksilverman i'm feeling that the democratic party  was the shittiest candidate honest with corruption in voter suppression causing
802154134916960000," #english government demands intercession in #libya ""without a doubt"" spared lives https://t.co/hpxkmswbwc https://t.co/pdmmm1x5co"
634321897753288000," i think nig &amp; chad specifically need 2 coordinate info release about boko haram. contradictions may hamper mnjtf operations @contactsalkida	"
640013442154385000," news in on john cena possibility hurt at a live event.. looks like he may have re-injured his nose. hopefully the rumor is false #wwe #cena	"
626045838842793000," reason why ant-man may have 'struggled' vs. other marvel? my parents assumed it was a parody.	"
629822713666928000," nothing like spending your friday night on the side of the road. #overheating @ dunkin' donuts https://t.co/fn34lzlw9o	"
802381847942594000, @nytpolitics no! it's about the shit false equivalency coverage by media and comey. media systematic character diso⊦ https://t.co/ax99r2aapd
802382003001815000, deep learning in aerial systems using jetson https://t.co/3prbjczm9p https://t.co/yk6s9vvzaf
802010731352760000, @christilton i'm totally looking forward to yakuza 0 and persona 5! but after xiii i'm not sure i can ever love again
